scenario,pooled_n,auth_mean_ms,auth_median_ms,auth_std_ms,auth_se_ms,auth_p90_ms,auth_p95_ms,auth_p99_ms,auth_iqr_ms,auth_ci95_lower_ms,auth_ci95_upper_ms,enforce_mean_ms,enforce_median_ms,enforce_std_ms,enforce_se_ms,enforce_p90_ms,enforce_p95_ms,enforce_p99_ms,enforce_iqr_ms,enforce_ci95_lower_ms,enforce_ci95_upper_ms,throughput_mean_rps,allow_count,restrict_count,deny_count,executed_count,downgraded_count,blocked_count,tx_count,total_gas
NORMAL_ACCESS,90,61.217,58.802,21.425,2.258,67.940,72.908,170.938,11.336,56.730,65.704,72.020,69.178,25.206,2.657,79.928,85.774,201.103,13.337,66.741,77.299,13.98,90,0,0,90,0,0,90,2867670
RESTRICT_ACCESS,90,56.005,54.228,8.762,0.924,66.725,68.966,85.053,9.568,54.169,57.840,65.888,63.798,10.309,1.087,78.500,81.137,100.062,11.256,63.729,68.047,15.21,0,90,0,0,90,0,90,2867670
LOW_TRUST,90,59.435,55.157,34.571,3.644,70.232,76.466,129.627,12.790,52.194,66.676,69.924,64.891,40.672,4.287,82.626,89.959,152.502,15.047,61.405,78.442,14.39,0,0,90,0,0,90,90,2867670
HIGH_RISK,90,43.953,42.518,7.886,0.831,51.230,54.329,67.227,8.697,42.301,45.604,51.709,50.022,9.278,0.978,60.271,63.916,79.091,10.231,49.766,53.652,19.37,0,0,90,0,0,90,0,0
ABAC_FAILURE,90,34.814,34.170,6.635,0.699,43.010,46.689,52.503,9.393,33.424,36.204,40.958,40.200,7.806,0.823,50.600,54.928,61.769,11.050,39.323,42.593,24.54,0,0,90,0,0,90,0,0
MIXED_SECURITY_WORKLOAD,90,52.478,50.165,24.173,2.548,69.105,71.997,172.182,18.858,47.415,57.541,61.739,59.017,28.439,2.998,81.301,84.702,202.567,22.187,55.782,67.695,16.21,41,20,29,41,20,29,61,1943643
BLOCKCHAIN_OUTAGE,90,0.100,0.100,0.000,0.000,0.100,0.100,0.100,0.000,0.100,0.100,0.002,0.001,0.003,0.000,0.003,0.003,0.021,0.002,0.002,0.003,0.00,0,0,90,0,0,90,0,0
RECOVERY,90,41.289,39.011,8.011,0.844,50.269,53.785,69.639,8.447,39.611,42.967,48.575,45.896,9.424,0.993,59.141,63.277,81.928,9.937,46.601,50.549,20.66,90,0,0,90,0,0,90,2867670
