runId,scenarioType,requestedOperations,completedOperations,seed,clientEndToEndLatencyMs,authLatencyMinMs,authLatencyMeanMs,authLatencyMedianMs,authLatencyP95Ms,authLatencyP99Ms,authLatencyMaxMs,enforceLatencyMinMs,enforceLatencyMeanMs,enforceLatencyMedianMs,enforceLatencyP95Ms,enforceLatencyP99Ms,enforceLatencyMaxMs,throughputRps,allowCount,restrictCount,denyCount,executedCount,downgradedCount,blockedCount,abacPassCount,abacFailCount,blockchainTxCount,totalGasUsed,behaviorMatchesExpectation
EXP-NORMAL_ACCESS-1790068967876,NORMAL_ACCESS,10,10,42,939.892,52.1016,69.227,66.658,88.968,92.688,93.61849,61.296,81.444,78.421,104.669,109.045,110.1394,12.25,10,0,0,10,0,0,10,0,10,318630,True
EXP-RESTRICT_ACCESS-1790068969045,RESTRICT_ACCESS,8,8,101,697.447,58.115689999999994,66.414,65.762,72.229,73.255,73.51123,68.3714,78.134,77.367,84.976,86.182,86.4838,12.8,0,8,0,0,8,0,8,0,8,254904,True
EXP-LOW_TRUST-1790068969958,LOW_TRUST,6,6,202,503.983,54.187925,59.303,57.621,67.308,68.441,68.724285,63.7505,69.769,67.79,79.186,80.519,80.8521,14.35,0,0,6,0,0,6,6,0,6,191178,True
EXP-HIGH_RISK-1790068970528,HIGH_RISK,6,6,303,687.734,38.383109999999995,84.161,82.821,130.186,135.376,136.67388,45.1566,99.013,97.437,153.16,159.266,160.7928,10.1,0,0,6,0,0,6,0,6,0,0,True
EXP-ABAC_FAILURE-1790068971273,ABAC_FAILURE,8,8,404,500.404,32.964275,41.146,38.397,53.556,54.748,55.046255,38.7815,48.407,45.173,63.007,64.41,64.7603,20.67,0,0,8,0,0,8,0,8,0,0,True
EXP-MIXED_SECURITY_WORKLOAD-1790068971830,MIXED_SECURITY_WORKLOAD,15,15,505,1117.859,32.480285,57.602,63.012,81.646,88.49,90.20132000000001,38.2121,67.767,74.132,96.055,104.106,106.1192,14.75,2,0,13,2,0,13,9,6,9,286767,True
EXP-BLOCKCHAIN_OUTAGE-1790068973007,BLOCKCHAIN_OUTAGE,5,5,606,92.809,0.1,0.103,0.1,0.113,0.115,0.115685,0.0041,0.032,0.007,0.111,0.131,0.1361,0.0,0,0,5,0,0,5,5,0,0,0,True
EXP-RECOVERY-1790068973289,RECOVERY,6,6,707,566.654,57.057355,71.395,63.782,102.073,109.808,111.74150999999999,67.1263,83.994,75.038,120.086,129.186,131.4606,11.9,6,0,0,6,0,0,6,0,6,191178,True
